Temperature,Top P,Top K,BM25 Weight,Extracted Concepts
0.1,0.95,50,0.6,"Voluntary and Involuntary Actions [#8B4513], Choice (Prohairesis) [#FF8C00], Practical Wisdom (Phronesis) [#708090], Habituation (Ethos) [#800000], Virtue (Arete) [#808000], Passions (Pathē) [#D2691E], Moral Virtues [#FF4500], Punishment and Reward [#006400], Moral Luck [#FF4500], Moral Character (Ethos) [#800000]"
0.33,0.95,50,0.6,"Voluntary and Involuntary Actions [#8B4513], Choice (Prohairesis) [#FF8C00], Habituation (Ethos) [#800000], Practical Wisdom (Phronesis) [#708090], Virtue (Arete) [#808000], Moral Virtues (Ethikai Aretai) [#FF4500], Incontinence (Akrasia) [#9932CC], Justice (Dikaiosyne) [#20B2AA], Injustice (Adikia) [#FFD700], Pleasure and Pain [#006400]"
0.55,0.95,50,0.6,"Voluntary and Involuntary Actions [#8B4513], Choice (Prohairesis) [#FF8C00], Practical Wisdom (Phronesis) [#708090], Virtue (Arete) [#808000], Habituation (Ethos) [#800000], Moral Virtues [#FF4500], Pleasure and Pain [#006400], Justice (Dikaiosune) [#20B2AA], Incontinence (Akrasia) [#9932CC], Practical Wisdom and Virtue [#006400]"
0.78,0.95,50,0.6,"Voluntary and Involuntary Actions [#8B4513], Choice (Prohairesis) [#FF8C00], Practical Wisdom (Phronesis) [#708090], Habituation (Ethos) [#800000], Moral Virtue (Arete) [#FF4500], Pleasure and Pain [#006400], Justice (Dikaiosyne) [#20B2AA], Incontinence (Akrasia) [#9932CC], Virtue of Character (Ethike Arete) [#800000]"
1.0,0.95,50,0.6,"Voluntary and Involuntary Actions [#8B4513], Choice (Prohairesis) [#FF8C00], Practical Wisdom (Phronesis) [#708090], Virtue (Arete) [#808000], Habituation (Ethos) [#800000], Moral Virtues (Ethikai Aretai) [#FF4500], Passions (Pathē) [#D2691E], Justice (Dikaiosyne) [#20B2AA], Injustice (Adikia) [#FFD700], Pleasure and Pain [#006400]"
0.5,0.1,50,0.6,"Moral Choice (Prohairesis) [#FF8C00], Voluntary Actions [#8B0000], Intellect (Nous) [#556B2F], Habit (Ethos) [#800000], Virtue (Arete) [#808000], Practical Wisdom (Phronesis) [#708090], Self-Control (Enkrateia) [#483D8B], Incontinence (Akrasia) [#9932CC], Ignorance (Agnoia) [#2E8B57], Passion (Pathos) [#6A5ACD]"
0.5,0.32,50,0.6,"Moral Choice (Prohairesis) [#FF8C00], Voluntary Actions [#8B0000], Intellect (Nous) [#556B2F], Habituation (Ethos) [#800000], Practical Wisdom (Phronesis) [#708090], Self-Control (Enkrateia) [#483D8B], Virtue (Arete) [#808000], Involuntary Actions [#8B4513], Moral Virtues and Vices [#FF4500], Moral Sense (Aisthesis) [#FF4500]"
0.5,0.55,50,0.6,"Voluntary Actions (ἑκούσια πράξεις) [#8B0000], Moral Choice (προαίρεσις) [#FF8C00], Intent (βούλησις) [#C71585], Knowledge (ἐπιστήμη) [#B22222], Habituation (ἔθος) [#A0522D], Deliberation (βουλεύσις) [#228B22], Character (ἦθος) [#800000], Practical Wisdom (φρόνησις) [#708090], Virtue (ἀρετή) [#808000], Involuntary Actions (ἀκούσια πράξεις) [#8B4513]"
0.5,0.77,50,0.6,"Moral Choice (προαίρεσις - prohairesis) [#FF8C00], Voluntary (ἑκούσιον - hekousion) [#8B0000], Involuntary (ἀκούσιον - akousion) [#8B4513], Ignorance (ἀγνοία - agnoia) [#2E8B57], Deliberation (βούλησις - boulesis) [#228B22], Intention (βούλησις - boulesis) [#C71585], Knowledge (ἐπιστήμη - episteme) [#B22222], Habituation (ἔθος - ethos) [#800000], Character (ἦθος - ethos) [#800000], Practical Wisdom (φρόνησις - phronesis) [#708090]"
0.5,0.99,50,0.6,"Moral Choice (Prohairesis) [#FF8C00], Voluntary and Involuntary Actions [#8B4513], Intellect (Nous) [#556B2F], Habit (Ethos) [#800000], Virtue (Arete) [#808000], Self-Control (Enkrateia) [#483D8B], Ignorance (Agnoia) [#2E8B57], Passion (Pathos) [#6A5ACD], Practical Wisdom (Phronesis) [#708090], Moral Principle (Logos) [#FF4500]"
