Temperature,Top P,Top K,BM25 Weight,Extracted Concepts
0.1,0.95,50,0.6,"Prohairesis (Prohaíresis) [#FF1493], Arete (Arête) [#8B008B], Kakia (Kakía) [#20B2AA], Eudaimonia (Eudaimonía) [#C71585], Phronesis (Phronēsis) [#8B0000], Nomos (Nómos) [#483D8B], Dikaiosyne (Dikaiosýnē) [#FFD700], Sophrosyne (Sōphrosýnē) [#FF8C00], Thumos (Thumós) [#228B22], Hedone (Hedonē) [#8B4513]"
0.33,0.95,50,0.6,"Arête (Virtue) [#8B008B], Eudaimonia (Flourishing/Happiness) [#C71585], Phronesis (Practical Wisdom) [#8B0000], Nike (Victory) [#708090], Kakia (Vice) [#20B2AA], Prohairesis (Choice) [#FF1493], Hedone (Pleasure) [#8B4513], Dikaiosune (Justice) [#2E8B57], Sophrosyne (Temperance) [#FF8C00], Megalopsychia (Magnanimity) [#6A5ACD]"
0.55,0.95,50,0.6,"Arête (Virtue) [#8B008B], Phronesis (Practical Wisdom) [#8B0000], Eudaimonia (Flourishing/Happiness) [#C71585], Hedone (Pleasure) [#8B4513], Kakia (Vice) [#20B2AA], Prohairesis (Choice) [#FF1493], Nomos (Law/Convention) [#483D8B], Dikaiosyne (Justice) [#2E8B57], Sophrosyne (Temperance) [#FF8C00], Megalopsychia (Magnanimity) [#6A5ACD]"
0.78,0.95,50,0.6,"Arête (Virtue) [#8B008B], Eudaimonia (Happiness/Flourishing) [#C71585], Phronesis (Practical Wisdom) [#8B0000], Nike (Victory) [#708090], Dikaiosune (Justice) [#2E8B57], Sophrosyne (Temperance) [#FF8C00], Thumos (Spiritedness) [#228B22], Aretē (Excellence) [#A0522D], Kakia (Viciousness) [#20B2AA], Hedone (Pleasure) [#8B4513]"
1.0,0.95,50,0.6,"Arête (Virtue) [#8B008B], Phronesis (Practical Wisdom) [#8B0000], Eudaimonia (Flourishing/Happiness) [#C71585], Hedone (Pleasure) [#8B4513], Kakia (Vice) [#20B2AA], Prohairesis (Choice) [#FF1493], Arete (Excellence) [#8B008B], Kathēkon (Proper Function) [#B22222], Nomos (Law) [#483D8B], Dikaiosyne (Justice) [#2E8B57]"
0.5,0.1,50,0.6,"Arête (Virtue) [#8B008B], Phronesis (Practical Wisdom) [#8B0000], Eudaimonia (Flourishing/Happiness) [#C71585], Prohairesis (Choice) [#FF1493], Nomos (Law/Convention) [#483D8B], Aidos (Shame) [#800000], Dikaiosune (Justice) [#2E8B57], Sophrosyne (Temperance) [#FF8C00], Andreia (Courage) [#228B22], Philautia (Self-Love) [#000000]"
0.5,0.32,50,0.6,"Arête (Excellence/Virtue) [#8B008B], Phronēsis (Practical Wisdom) [#8B0000], Prohairesis (Choice) [#FF1493], Hedone (Pleasure) [#8B4513], Dikaiosyne (Justice) [#2E8B57], Sophrosyne (Temperance) [#FF8C00], Andreia (Courage) [#228B22], Eudaimonia (Flourishing/Happiness) [#C71585], Kakia (Vice) [#20B2AA], Aisthēsis (Perception) [#FF8C00]"
0.5,0.55,50,0.6,"Arête (ἀρετή) - Virtue [#8B008B], Eudaimonia (εὐδαιμονία) - Happiness/Flourishing [#C71585], Phronesis (φρόνησις) - Practical Wisdom [#8B0000], Nike (νίκη) - Victory [#708090], Aretē (ἀρετή) - Excellence [#A0522D], Kakia (κακία) - Vice [#20B2AA], Dikaiosynē (δικαιοσύνη) - Justice [#2E8B57], Sophrosynē (σωφροσύνη) - Temperance [#800000], Andreia (ἀνδρεία) - Courage [#228B22], Philos (φίλος) - Friendship [#808000]"
0.5,0.77,50,0.6,"Arête (Excellence/Virtue) [#8B008B], Phronesis (Practical Wisdom) [#8B0000], Eudaimonia (Flourishing/Happiness) [#C71585], Hedone (Pleasure) [#8B4513], Aretē (Virtue) [#A0522D], Kakia (Vice) [#20B2AA], Dikaiosyne (Justice) [#2E8B57], Sophrosyne (Temperance) [#FF8C00], Andreia (Courage) [#228B22], Megalopsychia (Magnanimity) [#6A5ACD]"
0.5,0.99,50,0.6,"Arête (Virtue) [#8B008B], Phronesis (Practical Wisdom) [#8B0000], Eudaimonia (Flourishing) [#C71585], Hedone (Pleasure) [#8B4513], Aretē (Excellence) [#A0522D], Kakia (Vice) [#20B2AA], Megalopsychia (Magnanimity) [#6A5ACD], Sophrosyne (Temperance) [#FF8C00], Dikaiosyne (Justice) [#2E8B57], Nomos (Law) [#483D8B]"
