Temperature,Top P,Top K,BM25 Weight,Extracted Concepts
0.1,0.95,50,0.6,"Arête (Virtue) [#8B008B], Phronesis (Practical Wisdom) [#708090], Prohairesis (Choice) [#483D8B], Akritia (Incontinence) [#FF8C00], Dikaiosyne (Justice) [#A0522D], Sophrosyne (Temperance) [#000000], Eudaimonia (Flourishing) [#FFD700], Arete (Excellence) [#8B008B], Kakia (Vices) [#8B4513], Ethos (Character) [#9932CC]"
0.33,0.95,50,0.6,"Arête (Virtue) [#8B008B], Phronesis (Practical Wisdom) [#708090], Prohairesis (Choice) [#483D8B], Eudaimonia (Flourishing) [#FFD700], Akritia (Incontinence) and Enkrateia (Self-Control) [#FF8C00], Dikaiosyne (Justice) [#A0522D], Philia (Friendship) [#556B2F], Megalopsychia (Magnanimity) [#FF4500], Sophrosyne (Temperance) [#000000], Thumos (Spiritedness) [#808000]"
0.55,0.95,50,0.6,"Proairesis (Proaíresis) [#FF6347], Aretē (Aristotle's concept of virtue) [#8B008B], Nomos (Law/Convention) [#D2691E], Dikaiosynē (Justice) [#A0522D], Phronēsis (Practical Wisdom) [#708090], Hedonē (Pleasure) [#C71585], Akrasia (Incontinence) [#FF8C00], Eudaimonia (Eudaimonía - Flourishing/Happiness) [#FFD700], Philos (Friendship) [#556B2F], Tyche (Fortune/Chance) [#6A5ACD]"
0.78,0.95,50,0.6,"Proairesis (Prohairesis) [#FF6347], Arete (Virtue) [#8B008B], Phronesis (Practical Wisdom) [#708090], Eudaimonia (Eudaimonia) [#FFD700], Dikaiosyne (Justice) [#A0522D], Enkrateia (Self-Control) [#2E8B57], Aidos (Shame) [#800000], Philautia (Self-Love) [#2E8B57], Philos (Friendship) [#556B2F], Nomos (Law) [#D2691E]"
1.0,0.95,50,0.6,"Arête (Virtue) [#8B008B], Phronesis (Practical Wisdom) [#708090], Prohairesis (Choice) [#483D8B], Dikaiosyne (Justice) [#A0522D], Aidos (Shame) [#800000], Eudaimonia (Happiness/Flourishing) [#FFD700], Kakia (Vice) [#8B4513], Nomos (Law) [#D2691E]"
0.5,0.1,50,0.6,"Proairesis (Prohairesis) - Choice or Decision [#800000], Ethos (Ethos) - Character or Habit [#800000], Arete (Arete) - Virtue or Excellence [#800000], Phronesis (Phronesis) - Practical Wisdom [#708090], Eudaimonia (Eudaimonia) - Flourishing or Happiness [#800000], Akrasia (Akrasia) - Weakness of Will or Incontinence [#800000], Enkrateia (Enkrateia) - Self-Control or Continence [#800000], Dikaiosyne (Dikaiosyne) - Justice [#A0522D], Philia (Philia) - Friendship [#556B2F], Nomos (Nomos) - Law or Custom [#800000]"
0.5,0.32,50,0.6,"Proairesis (Prohairesis) - Voluntary Choice [#FF6347], Aretē (Arête) - Virtue [#8B008B], Phronesis (Phronesis) - Practical Wisdom [#708090], Nomos (Nomos) - Law or Custom [#800000], Dikaiosyne (Dikaiosyne) - Justice [#A0522D], Aidos (Aidos) - Shame or Reverence [#800000], Eudaimonia (Eudaimonia) - Flourishing or Happiness [#800000], Kathēkon (Kathēkon) - Proper Function [#B22222], Hēdonē (Hēdonē) - Pleasure [#C71585], Pathos (Pathos) - Emotion [#006400]"
0.5,0.55,50,0.6,"Arête (Virtue) [#8B008B], Philia (Friendship) [#556B2F], Eudaimonia (Flourishing/Happiness) [#FFD700], Prohairesis (Choice) [#483D8B], Dikaiosyne (Justice) [#A0522D], Sophrosyne (Temperance) [#000000], Akritia (Incontinence) [#FF8C00], Megalopsychia (Magnanimity) [#FF4500], Phronesis (Practical Wisdom) [#708090], Kakia (Vices) [#8B4513]"
0.5,0.77,50,0.6,"Proairesis (Prohairesis) - Choice or Decision [#800000], Arete (Virtue) [#8B008B], Dikaiosyne (Justice) [#A0522D], Sophrosyne (Temperance) [#000000], Akrasia (Incontinence) and Enkrateia (Self-Control) [#FF8C00], Philia (Friendship) [#556B2F], Eudaimonia (Happiness or Flourishing) [#800000], Nomos (Law or Custom) [#800000], Phronesis (Practical Wisdom) [#708090], Katharsis (Purification) [#20B2AA]"
0.5,0.99,50,0.6,"Proairesis (Prohairesis) - Voluntary Choice [#FF6347], Aretē (Arête) - Virtue [#8B008B], Enkrateia (Enkrateia) - Self-Control [#2E8B57], Akrasia (Akrasia) - Incontinence [#FF8C00], Phronēsis (Phronesis) - Practical Wisdom [#708090], Eudaimonia (Eudaimonia) - Flourishing [#FFD700], Dikaiosynē (Dikaiosyne) - Justice [#A0522D], Sophrosynē (Sophrosyne) - Temperance [#000000], Thumos (Thumos) - Spirit [#808000], Hedone (Hedone) - Pleasure [#C71585], Pathos (Pathos) - Passion [#006400], Nomos (Nomos) - Law [#D2691E], Philia (Philia) - Friendship [#556B2F], Tyche (Tyche) - Luck [#6A5ACD], Kakia (Kakia) - Vice [#8B4513]"
