Temperature,Top P,Top K,BM25 Weight,Extracted Concepts
0.1,0.95,50,0.6,"Duty (Pflicht) [#8B008B], Good Will (guter Wille) [#2E8B57], Autonomy (Selbstgesetzgebung) [#800000], Categorical Imperative (kategorischer Imperativ) [#FF8C00], Maxim (Maxime) [#556B2F], Respect (Achtung) [#20B2AA], Heteronomy (Heteronomie) [#9932CC], Moral Law (moralisches Gesetz) [#8B4513], Freedom (Freiheit) [#A0522D], Kingdom of Ends (Reich der Zwecke) [#FFD700]"
0.33,0.95,50,0.6,"Duty (Pflicht) [#8B008B], Good Will (guter Wille) [#2E8B57], Autonomy of the Will (Autonomie des Willens) [#800000], Categorical Imperative (kategorischer Imperativ) [#FF8C00], Maxim (Maxime) [#556B2F], Respect for the Law (Achtung für das Gesetz) [#8B4513], Heteronomy vs Autonomy [#800000], Kingdom of Ends (Reich der Zwecke) [#FFD700], Moral Law (moralisches Gesetz) [#8B4513], Freedom (Freiheit) [#A0522D]"
0.55,0.95,50,0.6,"Autonomy of the Will [#800000], Categorical Imperative [#FF8C00], Duty (Pflicht) [#8B008B], Respect for the Moral Law [#8B4513], Good Will (Guter Wille) [#2E8B57], Maxims [#C71585], Heteronomy vs Autonomy [#800000], Kingdom of Ends (Reich der Zwecke) [#FFD700], Freedom of the Will [#A0522D], Moral Law as Unconditional Necessity [#8B4513]"
0.78,0.95,50,0.6,"Duty (Pflicht) [#8B008B], Good Will (guter Wille) [#2E8B57], Autonomy of the Will (Autonomie des Willens) [#800000], Categorical Imperative (kategorischer Imperativ) [#FF8C00], Respect for the Law (Achtung für das Gesetz) [#8B4513], Maxims (Maximen) [#C71585], Moral Law (moralisches Gesetz) [#8B4513], Heteronomy vs Autonomy [#800000], Kingdom of Ends (Reich der Zwecke) [#FFD700], Moral Worth (moralischer Wert) [#8B4513]"
1.0,0.95,50,0.6,"Duty (Pflicht) [#8B008B], Maxim (Maxime) [#556B2F], Categorical Imperative (kategorischer Imperativ) [#FF8C00], Autonomy of the Will (Autonomie der Willkür) [#800000], Heteronomy of the Will (Heteronomie der Willkür) [#2E8B57], Moral Law (moralisches Gesetz) [#8B4513], Respect for the Law (Achtung vor dem Gesetz) [#8B4513], Kingdom of Ends (Reich der Zwecke) [#FFD700], Good Will (guter Wille) [#2E8B57], Freedom of the Will (Freiheit der Willkür) [#A0522D]"
0.5,0.1,50,0.6,"Duty (Pflicht) [#8B008B], Moral Worth (sittliche Würde) [#228B22], Autonomy of the Will (Autonomie des Willens) [#800000], Categorical Imperative (kategorischer Imperativ) [#FF8C00], Respect for the Law (Achtung für das Gesetz) [#8B4513], Good Will (guter Wille) [#2E8B57], Heteronomy vs Autonomy (Heteronomie vs Autonomie) [#800000], Kingdom of Ends (Reich der Zwecke) [#FFD700], Maxim (Maxime) [#556B2F], Moral Law (moralisches Gesetz) [#8B4513]"
0.5,0.32,50,0.6,"Duty (Pflicht) [#8B008B], Moral Law (Sittengesetz) [#8B4513], Autonomy of the Will (Autonomie des Willens) [#800000], Categorical Imperative (kategorischer Imperativ) [#FF8C00], Respect for the Law (Achtung für das Gesetz) [#8B4513], Good Will (guter Wille) [#2E8B57], Heteronomy of the Will (Heteronomie des Willens) [#2E8B57], Maxim (Maxime) [#556B2F], Kingdom of Ends (Reich der Zwecke) [#FFD700], Moral Worth (moralischer Wert) [#8B4513]"
0.5,0.55,50,0.6,"Duty (Pflicht) [#8B008B], Good Will (guter Wille) [#2E8B57], Categorical Imperative (kategorischer Imperativ) [#FF8C00], Autonomy (Autonomie) [#800000], Respect for the Law (Achtung für das Gesetz) [#8B4513], Maxim (Maxime) [#556B2F], Heteronomy (Heteronomie) [#9932CC], Moral Law (moralisches Gesetz) [#8B4513], Freedom (Freiheit) [#A0522D], Dignity (Würde) [#228B22]"
0.5,0.77,50,0.6,"Duty (Pflicht) [#8B008B], Moral Law (moralisches Gesetz) [#8B4513], Categorical Imperative (kategorischer Imperativ) [#FF8C00], Maxim (Maxime) [#556B2F], Autonomy of the Will (Autonomie des Willens) [#800000], Respect for the Law (Achtung für das Gesetz) [#8B4513], Good Will (guter Wille) [#2E8B57], Heteronomy of the Will (Heteronomie des Willens) [#2E8B57], Moral Worth (moralischer Wert) [#8B4513], Kingdom of Ends (Reich der Zwecke) [#FFD700]"
0.5,0.99,50,0.6,"Duty (Pflicht) [#8B008B], Good Will (guter Wille) [#2E8B57], Categorical Imperative (kategorischer Imperativ) [#FF8C00], Autonomy (Autonomie) [#800000], Respect (Achtung) [#20B2AA], Heteronomy (Heteronomie) [#9932CC], Maxim (Maxime) [#556B2F], Moral Law (moralisches Gesetz) [#8B4513], Freedom (Freiheit) [#A0522D], Kingdom of Ends (Reich der Zwecke) [#FFD700]"
0.5,0.95,1,0.6,"Duty (Pflicht) [#8B008B], Moral Law (Sittengesetz) [#8B4513], Autonomy of the Will (Autonomie des Willens) [#800000], Categorical Imperative (kategorischer Imperativ) [#FF8C00], Respect for the Law (Achtung vor dem Gesetz) [#8B4513], Good Will (guter Wille) [#2E8B57], Maxim (Maxime) [#556B2F], Heteronomy vs Autonomy [#800000], Kingdom of Ends (Reich der Zwecke) [#FFD700], Moral Worth (moralischer Wert) [#8B4513]"
0.5,0.95,25,0.6,"Duty (Pflicht) [#8B008B], Good Will (guter Wille) [#2E8B57], Categorical Imperative (kategorischer Imperativ) [#FF8C00], Autonomy (Selbstgesetzgebung) [#800000], Heteronomy (Fremdgesetzgebung) [#9932CC], Moral Law (moralisches Gesetz) [#8B4513], Respect (Achtung) [#20B2AA], Maxim (Maxime) [#556B2F], Kingdom of Ends (Reich der Zwecke) [#FFD700], Freedom (Freiheit) [#A0522D]"
0.5,0.95,50,0.6,"Duty (Pflicht) [#8B008B], Maxim (Maxime) [#556B2F], Categorical Imperative (Kategorischer Imperativ) [#FF8C00], Autonomy of the Will (Autonomie der Willkür) [#800000], Moral Law (Sittengesetz) [#8B4513], Respect for the Law (Achtung für das Gesetz) [#8B4513], Good Will (Guter Wille) [#2E8B57], Heteronomy vs Autonomy [#800000], Kingdom of Ends (Reich der Zwecke) [#FFD700], Moral Worth (Sittliche Würde) [#228B22]"
0.5,0.95,75,0.6,"Duty (Pflicht) [#8B008B], Good Will (guter Wille) [#2E8B57], Autonomy (Selbstgesetzgebung) [#800000], Categorical Imperative (kategorischer Imperativ) [#FF8C00], Maxim (Maxime) [#556B2F], Respect (Achtung) [#20B2AA], Moral Law (moralisches Gesetz) [#8B4513], Freedom (Freiheit) [#A0522D], Heteronomy vs Autonomy [#800000], Kingdom of Ends (Reich der Zwecke) [#FFD700]"
0.5,0.95,100,0.6,"Duty (Pflicht) [#8B008B], Moral Law (Sittengesetz) [#8B4513], Autonomy of the Will (Autonomie des Willens) [#800000], Categorical Imperative (Kategorischer Imperativ) [#FF8C00], Respect for the Law (Achtung für das Gesetz) [#8B4513], Good Will (Guter Wille) [#2E8B57], Maxim (Maxime) [#556B2F], Heteronomy vs Autonomy [#800000], Kingdom of Ends (Reich der Zwecke) [#FFD700], Moral Worth (Sittliche Würde) [#228B22]"
0.5,0.95,50,0.0,"Duty (Pflicht) [#8B008B], Good Will (guter Wille) [#2E8B57], Autonomy of the Will (Autonomie des Willens) [#800000], Categorical Imperative (kategorischer Imperativ) [#FF8C00], Respect for the Moral Law (Achtung für das moralische Gesetz) [#8B4513], Freedom of the Will (Freiheit des Willens) [#A0522D], Kingdom of Ends (Reich der Zwecke) [#FFD700], Moral Law (moralisches Gesetz) [#8B4513], Maxim (Maxime) [#556B2F], Heteronomy vs Autonomy (Heteronomie vs Autonomie) [#800000]"
0.5,0.95,50,0.25,"Duty (Pflicht) [#8B008B], Good Will (guter Wille) [#2E8B57], Categorical Imperative (kategorischer Imperativ) [#FF8C00], Autonomy (Autonomie) [#800000], Respect (Achtung) [#20B2AA], Maxim (Maxime) [#556B2F], Heteronomy (Heteronomie) [#9932CC], Moral Law (moralisches Gesetz) [#8B4513], Freedom (Freiheit) [#A0522D], Kingdom of Ends (Reich der Zwecke) [#FFD700]"
0.5,0.95,50,0.5,
0.5,0.95,50,0.75,"Duty (Pflicht) [#8B008B], Good Will (guter Wille) [#2E8B57], Categorical Imperative (kategorischer Imperativ) [#FF8C00], Maxim (Maxime) [#556B2F], Autonomy (Autonomie) [#800000], Respect (Achtung) [#20B2AA], Moral Law (moralisches Gesetz) [#8B4513], Heteronomy (Heteronomie) [#9932CC], Freedom (Freiheit) [#A0522D], Kingdom of Ends (Reich der Zwecke) [#FFD700]"
0.5,0.95,50,1.0,"Duty (Pflicht) [#8B008B], Moral Law (Sittengesetz) [#8B4513], Categorical Imperative (Kategorischer Imperativ) [#FF8C00], Autonomy of the Will (Autonomie des Willens) [#800000], Respect for the Law (Achtung für das Gesetz) [#8B4513], Good Will (Guter Wille) [#2E8B57], Heteronomy vs Autonomy [#800000], Kingdom of Ends (Reich der Zwecke) [#FFD700], Maxim (Maxime) [#556B2F], Moral Worth (Sittliche Würde) [#228B22]"
